key,dataset,feature,primary,n_A,n_B,contract,configuration,representation,N
Retinopathy__01,Retinopathy,feature_3,True,540,611,legacy_box,bins_4,Binned,10
Retinopathy__01,Retinopathy,feature_3,True,540,611,free_parameters,bins_4,Binned,10
Retinopathy__01,Retinopathy,feature_3,True,540,611,equal,raw,Observations,1151
Retinopathy__02,Retinopathy,feature_4,True,540,611,payload,means,Means,2
Retinopathy__02,Retinopathy,feature_4,True,540,611,legacy_box,means,Means,2
Retinopathy__02,Retinopathy,feature_4,True,540,611,free_parameters,means,Means,2
Retinopathy__02,Retinopathy,feature_4,True,540,611,equal,raw,Observations,1151
Retinopathy__03,Retinopathy,feature_5,True,540,611,payload,means,Means,2
Retinopathy__03,Retinopathy,feature_5,True,540,611,legacy_box,means,Means,2
Retinopathy__03,Retinopathy,feature_5,True,540,611,free_parameters,means,Means,2
Retinopathy__03,Retinopathy,feature_5,True,540,611,equal,raw,Observations,1151
Retinopathy__04,Retinopathy,feature_6,True,540,611,payload,means,Means,2
Retinopathy__04,Retinopathy,feature_6,True,540,611,legacy_box,means,Means,2
Retinopathy__04,Retinopathy,feature_6,True,540,611,free_parameters,means,Means,2
Retinopathy__04,Retinopathy,feature_6,True,540,611,equal,raw,Observations,1151
Retinopathy__05,Retinopathy,feature_7,True,540,611,payload,means,Means,2
Retinopathy__05,Retinopathy,feature_7,True,540,611,legacy_box,means,Means,2
Retinopathy__05,Retinopathy,feature_7,True,540,611,free_parameters,means,Means,2
